PacketCounter,SampleTimeFine,_Quat_W,_Quat_X,_Quat_Y,_Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
1317,1156350959,0.143370554,0.725033343,-0.097626954,0.66651386,16.63872528,1.224060178,12.85408211,-51.14012146,-183.5227203,-8.234241486,-0.893066406,-0.818847656,0.608398438, 
1318,1156359292,0.145646453,0.732437849,-0.102226973,0.657169461,15.62423229,1.343670964,14.2383213,-61.54892349,-167.6344604,-4.204105377,-0.825195313,-0.814941406,0.630859375, 
1319,1156367625,0.14868328,0.73872894,-0.107216179,0.648596585,14.75714397,1.9185642,15.82049084,-73.85443115,-149.6343994,-4.053064823,-0.837402344,-0.825683594,0.635742188, 
1320,1156375958,0.15288794,0.743783653,-0.111980893,0.640992701,14.35588074,1.079216123,17.30568314,-84.8349762,-126.5051041,-12.94119358,-0.770507813,-0.825683594,0.642578125, 
1321,1156384291,0.158007354,0.747562706,-0.116029374,0.634603083,13.75361919,-1.196828723,18.77974319,-88.67090607,-100.0031204,-23.81727028,-0.788085938,-0.837402344,0.63671875, 
1322,1156392624,0.163426459,0.750109911,-0.119112514,0.6296345,13.3594141,-4.363200665,19.91131973,-83.73900604,-72.04456329,-31.30190659,-0.725585938,-0.838378906,0.631347656, 
1323,1156400957,0.168363422,0.751490474,-0.12121734,0.626276851,13.03139687,-8.856958389,20.29611778,-70.27480316,-43.93931961,-31.68700027,-0.751464844,-0.853027344,0.625976563, 
1324,1156409290,0.171089977,0.75187993,-0.122078396,0.624901652,13.46440792,-11.25226021,19.91176414,-35.69042206,-15.75703335,-19.27807236,-0.702148438,-0.853515625,0.622558594, 
1325,1156417623,0.170988306,0.751155853,-0.121899039,0.625834525,13.1124649,-10.12861538,19.2079525,3.728395939,15.41107559,1.582614183,-0.740722656,-0.858398438,0.6171875, 
1326,1156425956,0.168895036,0.749440074,-0.12089996,0.628647089,11.47025394,-6.879970074,18.06009102,32.19499588,41.85634995,16.29483604,-0.706542969,-0.854003906,0.625, 
